born_date,born_year,current_team,height,name,weight
February 23,1994, ,5-11,Sebastian Collberg,185lb
April 3,1985, ,6-4,Gerald Coleman,214lb
November 28,1991,Tampa Bay Lightning,5-11,Blake Coleman,200lb
August 13,1951, ,5-8,Jim Cole,175lb
February 21,1989,Colorado Avalanche,6-1,Ian Cole,225lb
November 6,1978, ,6-2,Erik Cole,210lb
January 10,1967, ,5-11,Danton Cole,185lb
January 30,1990, ,6-5,Joe Colborne,221lb
June 28,1950, ,5-11,Howie Colborne,185lb
December 15,1928, ,6-0,Hugh Coflin,190lb
June 1,1961, ,6-0,Paul Coffey,205lb
December 1,2001, ,6-4,Brandon Coe,188lb
March 3,1999, ,5-8,Logan Cockerill,165lb
January 29,1958, ,6-2,Glen Cochrane,205lb
February 27,1985,Ottawa Senators,6-5,Braydon Coburn,223lb
July 27,1950, ,5-9,Steve Coates,172lb
September 22,1952, ,6-0,Brian Coates,195lb
July 8,1950, ,5-10,Gary Coalter,185lb
April 11,1978, ,6-1,Ben Clymer,200lb
November 18,1987,New York Islanders,5-11,Cal Clutterbuck,215lb
May 8,1998, ,6-1,Nathan Clurman,190lb
February 20,1930, ,5-9,Wally Clune,150lb
April 25,1987, ,5-10,Rich Clune,207lb
September 30,1982, ,6-3,Ryane Clowe,225lb
February 13,1974, ,6-0,Sylvain Cloutier,200lb
October 6,1957, ,5-8,Roland Cloutier,157lb
February 15,1960, ,6-0,Rejean Cloutier,185lb
July 30,1956, ,5-10,Real Cloutier,185lb
January 3,1960, ,5-7,Jacques Cloutier,168lb
April 22,1976, ,6-1,Dan Cloutier,195lb
April 14,1985, ,5-11,Grant Clitsome,215lb
April 29,1956, ,6-2,Steve Clippingdale,195lb
November 14,1931, ,5-7,Bruce Cline,137lb
March 5,1950, ,5-11,Ron Climie,185lb
February 11,1983, ,6-3,Matt Climie,194lb
April 28,1995,Boston Bruins,5-11,Connor Clifton,175lb
May 26,1966, ,5-9,Chris Clifford,167lb
March 23,1987, ,6-0,Marc-Andre Cliche,202lb
,,, ,Maxime Clermont,(Age: 29-013d)
October 26,1992, ,6-0,Adam Clendening,189lb
July 23,1977, ,6-2,Scott Clemmensen,201lb
December 20,1950, ,6-1,Bill Clement,194lb
March 11,1890, ,5-10,Sprague Cleghorn,190lb
September 19,1891, ,5-9,Odie Cleghorn,195lb
December 18,1978, ,6-1,Dan Cleary,205lb
November 10,1942, ,5-11,Ray Clearwater,175lb
August 24,1977, ,6-1,Greg Classen,200lb
March 31,1984, ,6-0,David Clarkson,207lb
June 11,1979, ,5-9,Noah Clarke,190lb
,,, ,Michael Clarke,(Age: 26-259d)
August 11,1954, ,6-3,Jim Clarke,215lb
April 24,2001, ,5-11,Graeme Clarke,175lb
March 23,1978, ,6-2,Dale Clarke,193lb
May 15,1996, ,6-1,Cameron Clarke,170lb
August 13,1949, ,5-10,Bobby Clarke,185lb
October 25,1966, ,5-11,Wendel Clark,194lb
June 18,1897, ,6-1,Nobby Clark,190lb
,,, ,Morgan Clark,(Age: 30-331d)
October 17,1990, ,6-4,Mat Clark,213lb
October 13,1999, ,6-3,Kody Clark,185lb
,,, ,Jason Clark,(Age: 28-321d)
May 31,1952, ,5-10,Gordie Clark,180lb
January 10,1964, ,6-1,Dean Clark,180lb
November 3,1957, ,6-1,Dan Clark,195lb
March 8,1976, ,6-0,Chris Clark,198lb
December 23,1976, ,6-0,Brett Clark,194lb
June 5,1998,Los Angeles Kings,5-11,Kale Clague,185lb
November 24,1992, ,6-1,Fredrik Claesson,196lb
,,, ,Matt Clackson,(Age: 35-262d)
February 13,1955, ,5-11,Kim Clackson,195lb
February 27,1991,New York Islanders,5-11,Casey Cizikas,195lb
,,, ,Martin Cizek,(Age: 36-241d)
,,, ,Yasin Cisse,(Age: 28-308d)
February 25,1978, ,6-0,Marian Cisar,197lb
February 21,1971, ,5-9,Jason Cirone,185lb
July 15,1997,Tampa Bay Lightning,6-0,Anthony Cirelli,193lb
May 9,1963, ,6-3,Joe Cirella,210lb
February 15,1970, ,6-0,Rob Cimetta,190lb
June 14,1971, ,5-11,Tony Cimellaro,180lb
October 19,1969, ,6-1,Zdeno Ciger,190lb
October 15,1934, ,6-2,Hank Ciesla,190lb
May 13,1974, ,6-2,Jozef Cierny,185lb
October 30,1977, ,6-1,Ivan Ciernik,234lb
,,, ,Michael Cichy,(Age: 30-189d)
September 17,1963, ,5-11,Chris Cichocki,185lb
April 10,1970, ,6-5,Enrico Ciccone,220lb
January 14,2001, ,5-10,Eric Ciccolini,160lb
February 8,1960, ,5-10,Dino Ciccarelli,185lb
May 17,1980, ,6-1,Martin Cibak,196lb
July 15,1969, ,5-10,Peter Ciavaglia,173lb
July 11,1971, ,6-1,Dave Chyzowski,190lb
September 5,1999,New York Rangers,6-2,Filip Chytil,206lb
May 24,1915, ,5-11,Jack Church,180lb
November 14,1976, ,6-1,Brad Church,210lb
April 3,1995, ,6-2,Ivan Chukarov,190lb
,,, ,Maxim Chudinov,(Age: 30-294d)
March 13,1986, ,6-2,Kris Chucko,190lb
December 13,1979, ,6-1,Artem Chubarov,205lb
April 3,1930, ,6-0,Bob Chrystal,180lb
August 28,2000, ,6-4,Magnus Chrona,194lb
August 20,2002, ,5-11,Martin Chromiak,187lb
January 23,1958, ,6-1,Steve Christoff,180lb
,,, ,Taylor Christie,(Age: 38-011d)
July 3,1978, ,6-3,Ryan Christie,200lb
December 20,1949, ,6-0,Mike Christie,190lb
,,, ,Matt Christie,(Age: 35-326d)
July 14,1944, ,5-6,Keith Christiansen,155lb
July 30,1970, ,6-2,Jeff Christian,210lb
May 12,1959, ,5-11,Dave Christian,175lb
December 17,1983, ,6-1,Erik Christensen,200lb
,,, ,Jan Chovan,(Age: 37-128d)
April 11,1980, ,6-1,Mathieu Chouinard,211lb
May 6,1977, ,6-5,Marc Chouinard,218lb
,,, ,Joel Chouinard,(Age: 30-280d)
October 20,1956, ,5-11,Guy Chouinard,182lb
January 5,1902, ,5-6,Gene Chouinard,160lb
May 9,1998, ,6-7,Brayden Chizen,191lb
April 17,1983, ,5-10,Stanislav Chistov,200lb
April 1,1915, ,5-11,Lex Chisholm,175lb
January 12,2000, ,6-1,Declan Chisholm,185lb
